title,soldprice,solddate,bids,link
Apple iPhone 11 - 64GB - Purple,53.25,Sold  3 Oct 2023,1 bid,https://www.ebay.co.uk/itm/196003079072?epid=26034221296&hash=item2da2b1a3a0%3Ag%3AzTIAAOSwMCdkkj5D&amdata=enc%3AAQAIAAAAwJp8Zpm62Y6v%2BJNJwU7JCbYPcPH7uOYY03G56zYCSPr8xi0wksy%2F%2BnSxjygtEokpLR393gAjj6yYJ%2Bhrt88w5GkdcHLwdl9XC70Yu%2FMqtpeEqxoIxdvNjAe%2Ff%2BXryoGLeSh9PW6rw2WqJVYCMJ5ZSXjMD9gdqD5xWh67nApIxo%2FCfB6%2B1imYy7vRr1wA7NWmi6Nvh9LkLaMUNV%2BfonJrPTn3DivMEpjbE4PkO8T3saNPpqgxvCaqtsSDs7Z0NJfpvA%3D%3D%7Ctkp%3ABk9SR5LBu8PeYg&LH_Auction=1
Apple iPhone X - 64GB - Space Gray (Unlocked),149.52,Sold  3 Oct 2023,19 bids,https://www.ebay.co.uk/itm/285490054054?epid=238944741&hash=item42788883a6%3Ag%3AQPUAAOSwxBtk%7E%7EaO&amdata=enc%3AAQAIAAAAwNGHYqMpip09PxJg%2BgkKr2JcXPO2OaV8mLLzEbyWlOx9%2FpW2b4U78y8et5W%2F3J94ARe94Bhy7oJFp%2BYGXDdIpkqcBTgYeezlCzCGkPwnpqtIAz5Ic2l%2FC1wPuH%2FbFl3SriTrZWV3vhYR9gIOizYU%2F19MFWTtXDYVOsnQ1KN0zWTP9Pa8SwEq%2FbX03VZmUxh8A7zuTc9d3WYa9%2BW63Ag2bmbTpjMKAoew2NorcMcJ3JOmckb5GM0I9WNpMzQKqrLa4A%3D%3D%7Ctkp%3ABk9SR5LBu8PeYg&LH_Auction=1
"APPLE IPHONE SE 64GB, 2022 3RD GEN MIDNIGHT - UNLOCKED FOR GLOBAL USE - MINT",209.74,Sold  3 Oct 2023,12 bids,https://www.ebay.co.uk/itm/295952412561?hash=item44e8236f91%3Ag%3AqikAAOSw6vFk8rdj&amdata=enc%3AAQAIAAAA4CLASCvwbNOnCVdKDTrbgUWDJBu4XQXxAADaoBPWThpJExT2kCMhbssyv8ESAX3mZ7yYGQt8DnufA3GfzVBLDXZIZSx3DoVVLAnIYGpkOf7XEocnLKYUgIeKj4V%2FKOnbUVKcXVhRqAGn5hKzjQgzFDa0EGI90%2Fc%2BOQzM8hbFRbX75f9BL22vX97TROwFotu8BpGf%2BwgPlLv4VkFVRRFQe3HT4XSMoDmREtRx54RdunNM%2BbnRLTE%2FmxENwnQRBtmu3HX1M%2FtVahRxHVk%2BoAVitTnFtGKJGe21Aw9zASagW524%7Ctkp%3ABk9SR5LBu8PeYg&LH_Auction=1
Apple iPhone 11 Pro Max - 256GB - Midnight Green (AT&T-Read Description),258.94,Sold  3 Oct 2023,10 bids,https://www.ebay.co.uk/itm/335045104879?epid=14034212822&hash=item4e023e94ef%3Ag%3AXfYAAOSw0XdlEj3R&amdata=enc%3AAQAIAAAA4EwtLPVNBLbgC44JQeDD2m82JleVD2I0IeRmQt6AUGd8KFlsyM93t%2BQwcVuPBWs0FNRpfTj3Tbv%2BzI3V%2FeY4C10LDJwN%2FXT3jvSNh8CSKweP49kWTSdkOfgnqeQ1RxzYfQrPSIM0mFNe3t0CR%2Bu%2FmjKiohk8JpyLgxooFjE4jAxoUoAxHz7sEI5%2BpYxTNQ7OVrJwXVP3V9Wp8xhaoF23gmw8t3KDdoIdbwVX%2Fy8mt5VrYOyjnK7HspAVHrcTiE8yiX6Do9oPElwNo0M3HG6b4uUemwZn%2F9eThul8Iz%2B7kbvr%7Ctkp%3ABk9SR5LBu8PeYg&LH_Auction=1
Apple iPhone 14 Pro - 512GB - Space Black (AT&T) Brand New,659.54,Sold  3 Oct 2023,4 bids,https://www.ebay.co.uk/itm/186095989635?epid=27056252069&hash=item2b542f7383%3Ag%3AUZoAAOSwGJlk-XLh&amdata=enc%3AAQAIAAAAwKJuf2H%2F0%2FT1oh5kyJYtIVz4Gjl2jtZuk8XvBjOA3NTm%2Bch7XKbWhRQC5HgpX04gvLPSv15moarOjxV%2BW0z2r0E%2F3aJpsHkWXP%2FEorRKpYGUuwjp9VfnFFInKDm%2Fc9vHoMtt2u4Hm0TZEZ9Tmc2eOR3xYgV8rqxMXGPp49WiNhR2GpeFCAQzWamyYZcNR7GFUm6uOdNSe2N%2FhU0UfWQqqVNOJrtxER4U73nlFzd52OIMzx2CKjiyIeGG%2FpODYjD0lQ%3D%3D%7Ctkp%3ABk9SR5TBu8PeYg&LH_Auction=1
Apple iPhone 11 Pro Max - 256GB - Gold (Unlocked) A2161 (CDMA + GSM),335.91,Sold  3 Oct 2023,12 bids,https://www.ebay.co.uk/itm/134743880657?epid=22034217307&hash=item1f5f5c73d1%3Ag%3AZJ4AAOSwvYplEjyX&amdata=enc%3AAQAIAAAAwHY4NHwMV%2FQvLtSilypX%2FqTmnq6d55U7BOSAZN8kpsYg5yVJLBnprri5IC3luONjXXAJ5ZxZLAwA75RGjhzNZ6p0Is37ZSHo1cJdSOjhkn0ylVIIIeovgQ17ZeqSVH%2BT71oMkyL8Go4Uf28qImaz9MrXFROyikpi25uYIlrB8mh0mA8MczEFzusAgtqzdPHBe05ajZ0e8owB0fRg6uVObAQJn%2BMFFbCS60PM4OGbx0gMCbTmO9Qt1UhMMhp7cTEByA%3D%3D%7Ctkp%3ABk9SR5TBu8PeYg&LH_Auction=1
Apple iPhone 14 Pro Max - 256GB - Space Black T-Mobile Locked.,569.42,Sold  3 Oct 2023,15 bids,https://www.ebay.co.uk/itm/364506463029?epid=3056262064&hash=item54de473b35%3Ag%3AYwEAAOSwb0llF3-H&amdata=enc%3AAQAIAAAA4HtXQpQyxzXMjFWGnwVvH1SHE2O1T52bvY%2FBxnTwjPRVjqr%2FLsg%2Fmlm54hqMsF0kedvB0erYTxfOnilfACsV7oF%2BN1weAhpYQk%2F3qmvHzvUoAZojZw206vloV7sF5UM%2FvwrSZ4AL5CgnlOdd9XmNzSzCHnV5W9XBhvYrSX6Yt4C4YShhZEKT7Q8eOfB1NLLErJoZ%2FhKsvvYVTuI%2BP57lqRZChNJMXDq4uo2kZNh5tY25bR%2BX44diPG0jRJK%2Fecv4tRohkzinZyIBWdS85w0k%2FY%2BRVUOAUA0h9ouZtT%2BwwG5J%7Ctkp%3ABk9SR5TBu8PeYg&LH_Auction=1
New listingApple iPhone XS - 256GB - Space Gray (Unlocked) A1920 (CDMA + GSM),122.9,Sold  3 Oct 2023,1 bid,https://www.ebay.co.uk/itm/115931550832?epid=6023706166&hash=item1afe0f1470%3Ag%3AS2oAAOSw5vxlG3Ao&amdata=enc%3AAQAIAAAA4KUDoBZxomglZaaQRXIn9c1Wzll3APzm3AOJl%2BSEdlZdDJ%2F8ewOBEBQEBVpmIVePr7xNzSq7V5hgxV6mO609n%2BL7hDTguFSnFDeG5SSrxKyPmHQ7bjQJCuF7phYE9lyAEZbWirkKvfDiyamQfHoPVwQvfpAtIoBX%2Fyl3fIzw1PlHoFhVp2%2FX%2Ff%2FeYAG9ubT7Tn0E5%2FdEZ3yBF2gnhYRMvZzmwGFdqUsh8%2FeQR1f54xGRg4J4Tgr3o05qYGg6b52KunseUGAVqg9RxYkn4uCq2TLEFzH5a9HrYgQBawFQ%2BY7B%7Ctkp%3ABk9SR5TBu8PeYg&LH_Auction=1
Apple iPhone 6 - Excellent Cond (Fully Unlocked) A1549 (CDMA + GSM),29.11,Sold  3 Oct 2023,10 bids,https://www.ebay.co.uk/itm/225790064082?epid=2151583151&hash=item349222f5d2%3Ag%3AaagAAOSw8jZlC6ZK&amdata=enc%3AAQAIAAAA0PUo2cmZHEho6I4BIJsv1bOXIBmFCqUdgsu3GLqNOQxbxVIbQFFXj%2FB%2FKTv5SKWDBkxViAMnnH13%2FSGKaiqXIP%2BWRgcZPnX2GsJyGdlcgoeI02C0fXQCuTmIdFLJ5wsKUNQ%2FIsBKbTit%2FnXKD2XAHnyE5MRLbspr3h2hraDZ7ykTzshR4yjrCkFvvHRUO3fmZ531WZ9ZEoY3hVzaDOTQCzhPmOQnt1%2Bis1d%2Bvg8UNyDBiLel3Bmm1zi1Fi2dnMbSgMOBbFikYB5X54Sa8TzbOlU%3D%7Ctkp%3ABk9SR5TBu8PeYg&LH_Auction=1
"Apple iPhone 14 Pro - 256GB - Space Black (Unlocked), Mod #A2650 W/Box",631.68,Sold  3 Oct 2023,25 bids,https://www.ebay.co.uk/itm/266429541151?epid=5056262890&hash=item3e08702b1f%3Ag%3AhKsAAOSwohplFG1X&amdata=enc%3AAQAIAAAA4HpF8Zo07lMrb74hLADOq7tL3kdyFAhHb3DPe%2B2dkylS5ylxvMJWfh7i3gwpCXHm6htj1xmnXrgr9f5ZshMNVOOFWQrYODO0X871x207Jyi06zJS5EniSrNiNHKMS9Y0Stj5T0zrNZwqjZ95ODCtzzaGdp2ZQaVMKxTJE%2FKzusnh0BFjHlfWsWa29NkiPZJK2u53CL9Qa2es%2F9%2FwObeiZhf2iDDFzb6xol1S8RH5IqdmuxLPUAwn9VXVtH2kimb%2BgsR5rOGYOK%2FRi6%2Ffp0Ai308M1kGqsPDHunEC%2FP0vfSgA%7Ctkp%3ABk9SR5TBu8PeYg&LH_Auction=1
